site	year	rep	specie	Date
15	6	2	2	31
16	6	2	2	31
17	6	2	2	31
18	6	2	2	31
19	6	2	2	31
1	7	2	2	29
2	7	2	2	29
3	7	2	2	29
4	7	2	2	29
5	7	2	2	29
6	7	2	2	29
7	7	2	2	29
8	7	2	2	29
9	7	2	2	29
10	7	2	2	29
11	7	2	2	29
12	7	2	2	29
13	7	2	2	29
14	7	2	2	29
15	7	2	2	29
16	7	2	2	29
17	7	2	2	29
18	7	2	2	29
19	7	2	2	29
1	8	2	2	25
2	8	2	2	25
3	8	2	2	25
4	8	2	2	25
5	8	2	2	25
6	8	2	2	25
7	8	2	2	25
8	8	2	2	25
9	8	2	2	25
10	8	2	2	25
11	8	2	2	25
12	8	2	2	25
13	8	2	2	25
14	8	2	2	25
15	8	2	2	25
16	8	2	2	25
17	8	2	2	25
18	8	2	2	25
19	8	2	2	25
1	9	2	2	17
2	9	2	2	17
3	9	2	2	17
4	9	2	2	17
5	9	2	2	17
6	9	2	2	17
7	9	2	2	17
8	9	2	2	17
9	9	2	2	17
10	9	2	2	17
11	9	2	2	17
12	9	2	2	17
13	9	2	2	17
14	9	2	2	17
15	9	2	2	17
16	9	2	2	17
17	9	2	2	17
18	9	2	2	17
19	9	2	2	17
1	10	2	2	23
2	10	2	2	23
3	10	2	2	23
4	10	2	2	23
5	10	2	2	23
6	10	2	2	23
7	10	2	2	23
8	10	2	2	23
9	10	2	2	23
10	10	2	2	23
11	10	2	2	23
12	10	2	2	23
13	10	2	2	23
14	10	2	2	23
15	10	2	2	23
16	10	2	2	23
17	10	2	2	23
18	10	2	2	23
19	10	2	2	23
1	11	2	2	28
2	11	2	2	28
3	11	2	2	28
4	11	2	2	28
5	11	2	2	28
6	11	2	2	28
7	11	2	2	28
8	11	2	2	28
9	11	2	2	28
10	11	2	2	28
11	11	2	2	28
12	11	2	2	28
13	11	2	2	28
14	11	2	2	28
15	11	2	2	28
16	11	2	2	28
17	11	2	2	28
18	11	2	2	28
19	11	2	2	28
1	12	2	2	56
2	12	2	2	56
3	12	2	2	56
4	12	2	2	56
5	12	2	2	56
6	12	2	2	56
7	12	2	2	56
8	12	2	2	56
